"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 18:19:31 IST 2024","Mon Jun 17 18:19:33 IST 2024","1409","Bookstore","audio: Dynamic data test","","","","#11 Audio with Title:Kriya Yoga: Portal To The Infinite should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:13 IST 2024","Mon Jun 17 18:19:15 IST 2024","1489","Bookstore","books: Dynamic data test","","","","#356 Book with Title:Why God Permits Evil and How to Rise Above It should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:01 IST 2024","Mon Jun 17 18:19:07 IST 2024","5582","Bookstore","books: Dynamic data test","","","","#285 Book with Title:To Be Victorious in Life should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:34 IST 2024","Mon Jun 17 18:19:36 IST 2024","2084","Bookstore","audio: Dynamic data test","","","","#13 Audio with Title:Arpan should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:22:58 IST 2024","Mon Jun 17 18:23:53 IST 2024","55258","Flipbooks / Digital Samplers","yogoda-satsanga-magazine","","","","HINDI - Tab2 >> A sampling of articles:Read this sample and other 6 Magazine links should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:15 IST 2024","Mon Jun 17 18:19:17 IST 2024","1937","Bookstore","books: Dynamic data test","","","","#361 Book with Title:Songs of the Soul should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:05 IST 2024","Mon Jun 17 18:18:07 IST 2024","1229","Bookstore","books: Dynamic data test","","","","#41 Book with Title:Only Love should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:30 IST 2024","Mon Jun 17 18:19:31 IST 2024","1281","Bookstore","audio: Dynamic data test","","","","#10 Audio with Title:The Divine Gypsy should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:43 IST 2024","Mon Jun 17 18:19:44 IST 2024","1650","Bookstore","audio: Dynamic data test","","","","#18 Audio with Title:Light the Lamp of Thy Love should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:45 IST 2024","Mon Jun 17 18:18:46 IST 2024","1399","Bookstore","books: Dynamic data test","","","","#199 Book with Title:Inner Peace should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:52 IST 2024","Mon Jun 17 18:19:53 IST 2024","1301","Bookstore","audio: Dynamic data test","","","","#24 Audio with Title:Beholding the One in All should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:21:43 IST 2024","Mon Jun 17 18:21:52 IST 2024","9347","Flipbooks / Digital Samplers","blog/6-spiritually-revolutionary-ideas","","","","TAMIL - should have new Preview link and give 200 OK status",""
"failed","Mon Jun 17 18:19:10 IST 2024","Mon Jun 17 18:19:13 IST 2024","3082","Bookstore","books: Dynamic data test","","","","#353 Book with Title:Collected Talks and Essays - Gift Pack of 3 Books - Duplicate - [#175338] should have new Preview link and give 200 OK status",""
